Name,Stadt,Type,Land,Kontakt,Einwohner,Bürgermeister,Partei,Kontaktdaten,,,,,,,
LRA Ravensburg,Ravensburg,Stadt,Baden-Württemberg,N,50628,Daniel Rapp,CDU/CSU,abh@ravensburg.de,,,,,,,
LRA Reutlingen,Reutlingen,Stadt,Baden-Württemberg,N,118852,Thomas Keck,SPD,stadt@reutlingen.de,,,,,,,
LRA Rottweil,Rottweil,Stadt,Baden-Württemberg,N,24985,Christian Ruf,CDU/CSU,stadt@rottweil.de,,,,,,,
STV Überlingen,Überlingen,Stadt,Baden-Württemberg,N,22735,Jan Zeitler,SPD,rathaus@ueberlingen.de,,,,,,,
LRA Sigmaringen,Sigmaringen,Stadt,Baden-Württemberg,N,16884,#N/A,#N/A,harry.aigner@lrasig.de,,,,,,,
LRA Tübingen,Tübingen,Stadt,Baden-Württemberg,N,92322,Boris Palmer,Parteilos,manuela.noll@tuebingen.de,,,,,,,
STV Mössingen,Mössingen,Stadt,Baden-Württemberg,N,21751,Michael Bulander,Parteilos,post@kreis-tuebingen.de,,,,,,,
LRA Tuttlingen,Tuttlingen,Stadt,Baden-Württemberg,N,37109,Michael Beck,CDU/CSU,auslaenderamt@tuttlingen.de,,,,,,,
STV Weingarten,Weingarten,Stadt,Baden-Württemberg,N,24940,Clemens Moll,CDU/CSU,kreisverwaltung@kreis-germersheim.de,,,,,,,
STV Schwetzingen,Schwetzingen,Stadt,Baden-Württemberg,N,21767,Matthias Steffan,Parteilos,info@schwetzingen.de,,,,,,,
STV Donaueschingen,Donaueschingen,Stadt,Baden-Württemberg,N,21790,Erik Pauly,CDU/CSU,stadt@donaueschingen.de,,,,,,,
STV Bad Rappenau,Bad Rappenau,Stadt,Baden-Württemberg,N,22703,Sebastian Frei,Parteilos,roland.deutschmann@badrappenau.de,,,,,,,
ABH Remseck a. N.,Remseck a,Stadt,Baden-Württemberg,N,26188,Dirk Schönberger,Parteilos,info@remseck.de,,,,,,,
STV Oberkirch,Oberkirch,Stadt,Baden-Württemberg,N,19847,Gregor Bühler,CDU/CSU,auslaenderamt@oberkirch.de,,,,,,,
BGM Eppingen,Eppingen,Stadt,Baden-Württemberg,N,22666,Klaus Holaschke,Parteilos,rathaus@eppingen.de,,,,,,,
STV Giengen,Giengen,Stadt,Baden-Württemberg,N,19967,Dieter Henle,Parteilos,auslaenderbehoerde@giengen.de,,,,,,,
STV Hockenheim,Hockenheim,Stadt,Baden-Württemberg,N,21623,Marcus Zeitler,CDU/CSU,auslaenderamt@hockenheim.de,,,,,,,
STV Kehl,Kehl,Stadt,Baden-Württemberg,N,39584,Wolfram Britz,Parteilos,auslaenderbehoerde@stadt-kehl.de,,,,,,,
BGM Weil am Rhein,Weil am Rhein,Stadt,Baden-Württemberg,N,32236,Diana Stöcker,CDU/CSU,buergerbuero@weil-am-rhein.de,,,,,,,
STV Crailsheim,Crailsheim,Stadt,Baden-Württemberg,N,35755,Christoph Grimmer,Parteilos,post@crailsheim.de,,,,,,,
STV Schramberg,Schramberg,Stadt,Baden-Württemberg,N,20610,Dorothee Eisenlohr,Parteilos,info@schramberg.de,,,,,,,
BGM Ellwangen,Ellwangen,Stadt,Baden-Württemberg,N,25001,Michael Dambacher,CDU/CSU,info@ellwangen.de,,,,,,,
STV Rottenburg,Rottenburg,Stadt,Baden-Württemberg,N,45677,Stephan Neher,CDU/CSU,post@kreis-tuebingen.de,,,,,,,
BGM Bretten,Bretten,Stadt,Baden-Württemberg,N,30274,Nico Morast,CDU/CSU,gv-auslaenderbehoerde@bretten.de,,,,,,,
BGM Radolfzell,Radolfzell,Stadt,Baden-Württemberg,N,31734,Simon Gröger,Parteilos,auslaenderamt@radolfzell.de,,,,,,,
ABH Stadt Rheinfelden,Stadt Rheinfelden,Stadt,Baden-Württemberg,N,#N/A,#N/A,#N/A,info@rheinfelden-baden.de,,,,,,,
STV Bad Mergentheim,Bad Mergentheim,Stadt,Baden-Württemberg,N,24023,Udo Glatthaar,CDU/CSU,auslaenderbehoerde@bad-mergentheim.de,,,,,,,
STV Wertheim,Wertheim,Stadt,Baden-Württemberg,N,22874,Markus Herrera Torrez,SPD,stadtverwaltung@wertheim.de,,,,,,,
STV Leinfelden-Echterdingen,Leinfelden-Echterdingen,Stadt,Baden-Württemberg,N,41185,Otto Ruppaner,Parteilos,buerger-und-ordnungsamt@le-mail.de,,,,,,,
STV Filderstadt,Filderstadt,Stadt,Baden-Württemberg,N,46243,Christoph Traub,CDU/CSU,AuE@Filderstadt.de,,,,,,,
STV Ostfildern,Ostfildern,Stadt,Baden-Württemberg,N,39778,Christof Bolay,SPD,auslaenderrecht@ostfildern.de,,,,,,,
STV Mosbach,Mosbach,Stadt,Baden-Württemberg,N,24459,Julian Stipp,SPD,info@mosbach.de,,,,,,,
BGM Gaggenau,Gaggenau,Stadt,Baden-Württemberg,N,29529,Michael Pfeiffer,Parteilos,auslaenderwesen@gaggenau.de,,,,,,,
STV Rottweil,Rottweil,Stadt,Baden-Württemberg,N,24985,Christian Ruf,CDU/CSU,stadt@rottweil.de,,,,,,,
BGM Schorndorf,Schorndorf,Stadt,Baden-Württemberg,N,41647,Bernd Hornikel,Parteilos,marcus.epp@schorndorf.de,,,,,,,
BGM Bietigheim-Bissingen,Bietigheim-Bissingen,Stadt,Baden-Württemberg,N,43556,Jürgen Kessing,SPD,ordnung@bietigheim-bissingen.de,,,,,,,
STV Neckarsulm,Neckarsulm,Stadt,Baden-Württemberg,N,26431,Steffen Hertwig,SPD,info-stadt@neckarsulm.de,,,,,,,
STV Mühlacker,Mühlacker,Stadt,Baden-Württemberg,N,26787,Stephan Retter,Parteilos,stadt@muehlacker.de,,,,,,,
STV Vaihingen,Vaihingen,Stadt,Baden-Württemberg,N,28798,Uwe Skrzypek,FW,auslaenderamt@vaihingen.de,,,,,,,
STV Winnenden,Winnenden,Stadt,Baden-Württemberg,N,29876,Hartmut Holzwarth,CDU/CSU,rathaus@winnenden.de,,,,,,,
STV Bühl,Bühl,Stadt,Baden-Württemberg,N,28608,Matthias Bauernfeind,CDU/CSU,auslaenderwesen@buehl.de,,,,,,,
BGM Sinsheim,Sinsheim,Stadt,Baden-Württemberg,N,37036,Marco Siesing,CDU/CSU,ordnungsamt@sinsheim.de,,,,,,,
STV Wiesloch,Wiesloch,Stadt,Baden-Württemberg,N,27731,Dirk Elkemann,Parteilos,auslaenderamt@wiesloch.de,,,,,,,
BGM Emmendingen,Emmendingen,Stadt,Baden-Württemberg,N,29502,Stefan Schlatterer,CDU/CSU,auslaenderamt@emmendingen.de,,,,,,,
STV Wangen,Wangen,Stadt,Baden-Württemberg,N,28412,Michael Lang,Parteilos,auslaenderwesen@landkreis-goeppingen.de,,,,,,,
STV Waldshut-Tiengen,Waldshut-Tiengen,Stadt,Baden-Württemberg,N,25019,Martin Gruner,Parteilos,agruoner@waldshut-tiengen.de,,,,,,,
STV Ditzingen,Ditzingen,Stadt,Baden-Württemberg,N,22666,Michael Makurath,Parteilos,stadt@ditzingen.de,,,,,,,
STV Weinstadt,Weinstadt,Stadt,Baden-Württemberg,N,27074,Michael Scharmann,FW,auslaenderabteilung@weinstadt.de,,,,,,,
BGM Horb a.N.,Horb a,Stadt,Baden-Württemberg,N,25651,Michael Keßler,CDU/CSU,auslaenderwesen@Lra-kc.bayern.de,,,,,,,
STV Nagold,Nagold,Stadt,Baden-Württemberg,N,23864,Jürgen Großmann,CDU/CSU,tanja.kalmbach@nagold.de,,,,,,,
BGM Freudenstadt,Freudenstadt,Stadt,Baden-Württemberg,N,24464,Adrian Sonder,CDU/CSU,auslaenderbehoerde@freudenstadt.de,,,,,,,
STV Metzingen,Metzingen,Stadt,Baden-Württemberg,N,23178,Carmen Haberstroh,FW,stadt@metzingen.de,,,,,,,
Stadtverwaltung Waghäusel,Waghäusel,Stadt,Baden-Württemberg,N,22466,Thomas Deuschle,CDU/CSU,auslaenderrecht@waghaeusel.de,,,,,,,
Stadt Laupheim,Laupheim,Stadt,Baden-Württemberg,N,22839,Ingo Bergmann,SPD,auslaenderbehoerde@laupheim.de,,,,,,,
Regierung von Unterfranken,von Unterfranken,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderbehoerde@landkreis-badkissingen.de,,,,,,,
STV Ingolstadt,Ingolstadt,Stadt,Bayern,N,141185,Michael Kern,CDU/CSU,auslaenderamt@ingolstadt.de,,,,,,,
LH München,München,Stadt,Bayern,N,1505005,Dominik Krause,Grüne,auslaenderbehoerde.kvr@muenchen.de,,,,,,,
STV Rosenheim,Rosenheim,Stadt,Bayern,N,65274,Abuzar Erdogan,SPD,auslaenderamt@rosenheim.de,,,,,,,
LRA Altötting,Altötting,Stadt,Bayern,N,13138,#N/A,#N/A,ausl1@lra-aoe.de,,,,,,,
LRA Bad Tölz,Bad Tölz,Stadt,Bayern,N,19826,#N/A,#N/A,info@lra-toelz.de,,,,,,,
LRA Dachau,Dachau,Stadt,Bayern,N,47138,Florian Hartmann,SPD,auslaenderamt@lra-dah.bayern.de,,,,,,,
LRA Ebersberg,Ebersberg,Stadt,Bayern,N,12408,#N/A,#N/A,auslaenderamt@lra-ebe.de,,,,,,,
LRA Erding,Erding,Stadt,Bayern,N,37171,Maximilian Gotz,CDU/CSU,auslaenderamt@lra-ed.de,,,,,,,
LRA Freising,Freising,Stadt,Bayern,N,48928,Monika Schwind,Freisinger Mitte,auslaenderamt@kreis-fs.de,,,,,,,
LRA Fürstenfeldbruck,Fürstenfeldbruck,Stadt,Bayern,N,37420,Christian Götz,BBV,auslaenderamt@lra-ffb.de,,,,,,,
LRA Garmisch-Partenkirchen,Garmisch-Partenkirchen,Stadt,Bayern,N,#N/A,#N/A,#N/A,hubert.sedlmeyer@lra-gap.de,,,,,,,
LRA Landsberg,Landsberg,Stadt,Bayern,N,29257,Doris Baumgartl,UBV,auslaenderbehoerde@saalekreis.de,,,,,,,
LRA Miesbach,Miesbach,Stadt,Bayern,N,11573,#N/A,#N/A,auslaenderrecht@lra-mb.bayern.de,,,,,,,
LRA Mühldorf a. Inn,Mühldorf,Stadt,Bayern,N,22503,#N/A,#N/A,annemarie.haslbeck@lra-mue.de,,,,,,,
LRA München,München,Stadt,Bayern,N,1505005,Dominik Krause,Grüne,auslaenderbehoerde.kvr@muenchen.de,,,,,,,
LRA Pfaffenhofen,Pfaffenhofen,Stadt,Bayern,N,26996,#N/A,#N/A,auslaenderamt@lra-dah.bayern.de,,,,,,,
LRA Rosenheim,Rosenheim,Stadt,Bayern,N,65274,Abuzar Erdogan,SPD,auslaenderamt@rosenheim.de,,,,,,,
LRA Starnberg,Starnberg,Stadt,Bayern,N,24471,#N/A,#N/A,auslaenderwesen@lra-starnberg.de,,,,,,,
LRA Traunstein,Traunstein,Stadt,Bayern,N,20877,Christian Hümmer,CDU/CSU,sg3.30@lra-ts.bayern.de,,,,,,,
LRA Weilheim-Schongau,Weilheim-Schongau,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderamt@lra-wm.de,,,,,,,
LRA Weilheim-Schongau 1,Weilheim-Schongau,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderamt@lra-wm.de,,,,,,,
STV Landshut,Landshut,Stadt,Bayern,N,71863,Thomas Haslinger,CDU/CSU,auslaenderbehoerde@landshut.de,,,,,,,
STV Passau,Passau,Stadt,Bayern,N,53039,Andreas Rother,SPD,auslaenderamt@passau.de,,,,,,,
STV Straubing,Straubing,Stadt,Bayern,N,49002,Markus Pannermayr,CDU/CSU,auslaenderamt@straubing.de,,,,,,,
LRA Deggendorf,Deggendorf,Stadt,Bayern,N,35044,Christian Moser,CDU/CSU,auslaenderwesen@lra-deg.bayern.de,,,,,,,
LRA Kelheim,Kelheim,Stadt,Bayern,N,17066,#N/A,#N/A,poststelle@landkreis-kelheim.de,,,,,,,
ZAB Mittelfranken,Mittelfranken,Stadt,Bayern,N,#N/A,#N/A,#N/A,abh.aufenthalt@stadt.nuernberg.de,,,,,,,
ZAB Oberfranken,Oberfranken,Stadt,Bayern,N,#N/A,#N/A,#N/A,abh@lra-ba.bayern.de,,,,,,,
ZAB Oberfranken 2,Oberfranken,Stadt,Bayern,N,#N/A,#N/A,#N/A,abh@lra-ba.bayern.de,,,,,,,
Reg. v. Mfr. Zentr. Stelle f. d. Einwanderung von Fachkräften,v. Mfr. Zentr. Stelle f. d. Einwanderung von Fachkräften,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderbehoerde@emsland.de,,,,,,,
ABH FA Regierung von Mittelfranken,FA Regierung von Mittelfranken,Stadt,Bayern,N,#N/A,#N/A,#N/A,abh.aufenthalt@stadt.nuernberg.de,,,,,,,
ZAB Oberbayern München,Oberbayern München,Stadt,Bayern,N,#N/A,#N/A,#N/A,service@bamf.bund.de,,,,,,,
ZAB Oberbayern AS: Ingolstadt,Oberbayern AS: Ingolstadt,Stadt,Bayern,N,#N/A,#N/A,#N/A,,,,,,,,
LRA Landshut,Landshut,Stadt,Bayern,N,71863,Thomas Haslinger,CDU/CSU,auslaenderbehoerde@landshut.de,,,,,,,
ZAB Niederbayern,Niederbayern,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderamt@landkreis-frg.de,,,,,,,
LRA Passau,Passau,Stadt,Bayern,N,53039,Andreas Rother,SPD,auslaenderamt@passau.de,,,,,,,
LRA Regen,Regen,Stadt,Bayern,N,151389,Thomas Burger,SPD,ausland@lra.landkreis-regen.de,,,,,,,
STV Amberg,Amberg,Stadt,Bayern,N,42553,Michael Fritz,FW,ausland@lra.unterallgaeu.de,,,,,,,
Stadt Regensburg,Regensburg,Stadt,Bayern,N,151389,Thomas Burger,SPD,auslaenderangelegenheiten@regensburg.de,,,,,,,
STV Weiden,Weiden,Stadt,Bayern,N,42444,Benjamin Zeitler,CDU/CSU,r.simon@landkreis-birkenfeld.de,,,,,,,
LRA Amberg-Sulzbach,Amberg-Sulzbach,Stadt,Bayern,N,#N/A,#N/A,#N/A,r.simon@landkreis-birkenfeld.de,,,,,,,
LRA Cham,Cham,Stadt,Bayern,N,17433,#N/A,#N/A,auslaenderamt@lra.landkreis-cham.de,,,,,,,
LRA Neumarkt i.d. OPf.,Neumarkt in der Oberpfalz,Stadt,Bayern,N,#N/A,Markus Ochsenkühn,CDU/CSU,kraus.lothar@landkreis.neumarkt.de,,,,,,,
LRA Neustadt/Waldnaab,Neustadt an der Waldnaab,Stadt,Bayern,N,#N/A,#N/A,#N/A,auslaenderamt@neustadt.de,,,,,,,
LRA Regensburg,Regensburg,Stadt,Bayern,N,151389,Thomas Burger,SPD,auslaenderangelegenheiten@regensburg.de,,,,,,,
LRA Tirschenreuth,Tirschenreuth,Stadt,Bayern,N,8516,#N/A,#N/A,latirsch@tirnet.de,,,,,,,
STV Bamberg,Bamberg,Stadt,Bayern,N,77150,Sebastian Martins Niedermaier,SPD,auslaenderamt@stadt.bamberg.de,,,,,,,
STV Bayreuth,Bayreuth,Stadt,Bayern,N,72940,Andreas Zippel,SPD,auslaenderamt@stadt.bayreuth.de,,,,,,,
STV Coburg,Coburg,Stadt,Bayern,N,41064,Dominik Sauerteig,SPD,einwohneramt@coburg.de,,,,,,,
STV Hof,Hof,Stadt,Bayern,N,46778,Stefan Schmalfuß,CDU/CSU,auslaenderbehoerde@stadt-hof.de,,,,,,,
LRA Bamberg,Bamberg,Stadt,Bayern,N,77150,Sebastian Martins Niedermaier,SPD,auslaenderamt@stadt.bamberg.de,,,,,,,
